KECAMATAN,Shape_Leng,Shape_Area,JUMLAH_PEN,LUAS_Ha_,Kep_pend,X,Y,AREA_GEO,PERIM_GEO,CENTROID_X,CENTROID_Y,CENTROID_Z,CENTROID_M,INSIDE_X,INSIDE_Y,INSIDE_Z,INSIDE_M,START_X,START_Y,START_Z,START_M,MID_X,MID_Y,MID_Z,MID_M,END_X,END_Y,END_Z,END_M,PART_COUNT,PNT_COUNT,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y
PASIRWANGI,0.46248898892,0.00438123975,65600.00000000000,46.70000000000,1404.71092077000,107.76803844700,-7.20887322811,53513669.03820000000,51108.64031100000,107.76424108300,-7.21159141395,0.00000000000,0.00000000000,107.76424108300,-7.21159141395,0.00000000000,0.00000000000,107.74618332600,-7.16939997553,0.00000000000,0.00000000000,107.79508827100,-7.23629505201,0.00000000000,0.00000000000,107.81716755600,-7.23196359075,0.00000000000,0.00000000000,1.00000000000,1604.00000000000,107.70614633100,-7.24533768858,107.83752529300,-7.16697239596
PEUNDEUY,0.29308497461,0.00438480654,24060.00000000000,56.79000000000,423.66613840500,107.90821562000,-7.54925922162,53517488.40610000000,32380.31081780000,107.90846361700,-7.54886296802,0.00000000000,0.00000000000,107.90846361700,-7.54886296802,0.00000000000,0.00000000000,107.94171911900,-7.52535466579,0.00000000000,0.00000000000,107.88499723200,-7.57421883598,0.00000000000,0.00000000000,107.94171911900,-7.52535466579,0.00000000000,0.00000000000,1.00000000000,863.00000000000,107.87211038500,-7.59700916964,107.94382485800,-7.50230178080
SAMARANG,0.46240673978,0.00429658492,78510.00000000000,59.71000000000,1314.85513314000,107.81451883600,-7.18676679258,52482304.89610000000,51105.00182240000,107.81252975400,-7.18819716027,0.00000000000,0.00000000000,107.81252975400,-7.18819716027,0.00000000000,0.00000000000,107.82788218600,-7.14647746436,0.00000000000,0.00000000000,107.82735725400,-7.22623667317,0.00000000000,0.00000000000,107.83614438500,-7.22398706375,0.00000000000,0.00000000000,1.00000000000,1368.00000000000,107.75750833300,-7.23819285102,107.87550750200,-7.13247999875
SELAAWI,0.39641562414,0.00299459865,42700.00000000000,34.07000000000,1253.30202524000,108.01018264200,-6.99913560890,36593205.34040000000,43821.01299970000,108.01112098200,-7.00060331291,0.00000000000,0.00000000000,108.01112098200,-7.00060331291,0.00000000000,0.00000000000,107.99088328700,-6.98110220620,0.00000000000,0.00000000000,108.02682979400,-7.02500808713,0.00000000000,0.00000000000,108.01381925800,-6.99782267957,0.00000000000,0.00000000000,1.00000000000,1651.00000000000,107.95772247900,-7.03659965475,108.06076612700,-6.95873615505
SINGAJAYA,0.36400522302,0.00484069185,47740.00000000000,67.69000000000,705.27404343300,107.91445369000,-7.47568402146,59091036.82060000000,40220.47586970000,107.91748947600,-7.47809362224,0.00000000000,0.00000000000,107.91748947600,-7.47809362224,0.00000000000,0.00000000000,107.95109511500,-7.42143713731,0.00000000000,0.00000000000,107.88624349500,-7.50544206665,0.00000000000,0.00000000000,107.92804500100,-7.49158502403,0.00000000000,0.00000000000,1.00000000000,1192.00000000000,107.86952000100,-7.52543884143,107.95331580600,-7.42110999993
SUCINARAJA,0.30760205197,0.00274968332,29780.00000000000,33.83000000000,880.28377180000,108.01251063800,-7.21636618161,33585014.56400000000,33991.01920080000,108.00655262200,-7.21678620939,0.00000000000,0.00000000000,108.00655262200,-7.21678620939,0.00000000000,0.00000000000,108.06642926800,-7.21575376233,0.00000000000,0.00000000000,107.97320315800,-7.20405375896,0.00000000000,0.00000000000,108.06642926800,-7.21575376233,0.00000000000,0.00000000000,1.00000000000,1029.00000000000,107.97050803900,-7.25246757942,108.06642926800,-7.17942472827
SUKARESMI,0.35121284904,0.00273468381,40460.00000000000,35.17000000000,1150.41228320000,107.76972784300,-7.24594528803,33399716.24620000000,38803.76788660000,107.77109481200,-7.24584719486,0.00000000000,0.00000000000,107.77109481200,-7.24584719486,0.00000000000,0.00000000000,107.74852206200,-7.22308835145,0.00000000000,0.00000000000,107.80395145200,-7.26712501545,0.00000000000,0.00000000000,107.74852206200,-7.22308835145,0.00000000000,0.00000000000,1.00000000000,1145.00000000000,107.70854011000,-7.26899841095,107.82818163600,-7.22308835145
SUKAWENING,0.34566431331,0.00304825167,57260.00000000000,33.83000000000,1692.58054981000,108.01695192800,-7.14035178484,37238232.47740000000,38202.47650770000,108.01529394500,-7.13566306591,0.00000000000,0.00000000000,108.01529394500,-7.13566306591,0.00000000000,0.00000000000,108.00445742100,-7.10588506105,0.00000000000,0.00000000000,108.02208294300,-7.17760819846,0.00000000000,0.00000000000,108.00445742100,-7.10588506105,0.00000000000,0.00000000000,1.00000000000,1256.00000000000,107.97777148000,-7.18432309983,108.05944834300,-7.10575790770
TALEGONG,0.52048289891,0.00883002346,28820.00000000000,108.74000000000,265.03586536700,107.52869225500,-7.29638967924,107833383.49100000000,57513.42495200000,107.52480878600,-7.29286112064,0.00000000000,0.00000000000,107.52480878600,-7.29286112064,0.00000000000,0.00000000000,107.58379375700,-7.27715991140,0.00000000000,0.00000000000,107.48496442900,-7.34583586335,0.00000000000,0.00000000000,107.49046690100,-7.32345549138,0.00000000000,0.00000000000,1.00000000000,1947.00000000000,107.45494090200,-7.34853164592,107.61021054600,-7.25130482975
TAROGONG KALER,0.31770031867,0.00430044559,98390.00000000000,50.57000000000,1945.61993277000,107.86465308800,-7.17473973208,52531033.05600000000,35109.56934750000,107.86191180200,-7.17425444484,0.00000000000,0.00000000000,107.86191180200,-7.17425444484,0.00000000000,0.00000000000,107.86756012000,-7.14048036678,0.00000000000,0.00000000000,107.86356073800,-7.20511933998,0.00000000000,0.00000000000,107.84240341500,-7.17397757780,0.00000000000,0.00000000000,1.00000000000,641.00000000000,107.82394875000,-7.21378961600,107.91084000000,-7.13666042264
TAROGONG KIDUL,0.27076574125,0.00162490163,116490.00000000000,19.46000000000,5986.12538541000,107.88416553900,-7.21579244727,19846846.24300000000,29921.62992420000,107.88376918800,-7.21510626919,0.00000000000,0.00000000000,107.88376918800,-7.21510626919,0.00000000000,0.00000000000,107.90858751600,-7.19060111235,0.00000000000,0.00000000000,107.85745421600,-7.23820924303,0.00000000000,0.00000000000,107.90858751600,-7.19060111235,0.00000000000,0.00000000000,1.00000000000,913.00000000000,107.85667746600,-7.24421928989,107.91244631600,-7.18873796079
WANARAJA,0.33318168968,0.00183258093,49220.00000000000,35.26000000000,1395.91605218000,108.01187353800,-7.18745256735,22384748.97880000000,36819.38539100000,108.00836106800,-7.18869013422,0.00000000000,0.00000000000,108.00836106800,-7.18869013422,0.00000000000,0.00000000000,107.98262484500,-7.16063607859,0.00000000000,0.00000000000,108.03231537900,-7.20904123097,0.00000000000,0.00000000000,107.98262484500,-7.16063607859,0.00000000000,0.00000000000,1.00000000000,1173.00000000000,107.96196244800,-7.21639999986,108.06880956700,-7.15603000108
